,Cases,Deaths,Population
2022-06-01,11487,1,39512223
2022-06-02,1798,0,39512223
2022-06-03,0,0,39512223
2022-06-04,0,0,39512223
2022-06-05,0,0,39512223
2022-06-06,68980,75,39512223
2022-06-07,0,0,39512223
2022-06-08,0,0,39512223
2022-06-09,0,0,39512223
2022-06-10,47640,117,39512223
2022-06-11,0,0,39512223
2022-06-12,61742,99,39512223
2022-06-13,1023,0,39512223
2022-06-14,27525,127,39512223
2022-06-15,3448,2,39512223
2022-06-16,335,0,39512223
2022-06-17,49057,73,39512223
2022-06-18,21846,96,39512223
2022-06-19,8637,4,39512223
2022-06-20,6898,3,39512223
2022-06-21,14015,1,39512223
2022-06-22,10147,3,39512223
2022-06-23,1867,0,39512223
2022-06-24,44873,100,39512223
2022-06-25,12709,1,39512223
2022-06-26,5252,0,39512223
2022-06-27,1368,0,39512223
2022-06-28,0,0,39512223
2022-06-29,83258,786,39512223
2022-06-30,19695,30,39512223
2022-07-01,18047,35,39512223
2022-07-02,17789,33,39512223
2022-07-03,11346,46,39512223
2022-07-04,9724,42,39512223
2022-07-05,9866,43,39512223
2022-07-06,26997,31,39512223
2022-07-07,22869,41,39512223
2022-07-08,21038,29,39512223
2022-07-09,20082,52,39512223
2022-07-10,13353,44,39512223
2022-07-11,-32716,-673,39512223
2022-07-12,0,0,39512223
2022-07-13,0,0,39512223
2022-07-14,96041,234,39512223
2022-07-15,16049,3,39512223
2022-07-16,24840,143,39512223
2022-07-17,10948,8,39512223
2022-07-18,8370,9,39512223
2022-07-19,17856,11,39512223
2022-07-20,10009,0,39512223
2022-07-21,1857,1,39512223
2022-07-22,48175,123,39512223
2022-07-23,11403,2,39512223
2022-07-24,4883,0,39512223
2022-07-25,1449,0,39512223
2022-07-26,0,0,39512223
2022-07-27,67985,280,39512223
2022-07-28,14757,6,39512223
2022-07-29,11406,4,39512223
2022-07-30,10608,0,39512223
2022-07-31,4625,0,39512223
2022-08-01,1108,0,39512223
2022-08-02,31804,161,39512223
2022-08-03,8442,2,39512223
2022-08-04,1679,0,39512223
2022-08-05,33523,136,39512223
2022-08-06,8889,2,39512223
2022-08-07,4087,0,39512223
2022-08-08,981,0,39512223
2022-08-09,24774,165,39512223
2022-08-10,6898,4,39512223
2022-08-11,1381,0,39512223
2022-08-12,29481,167,39512223
2022-08-13,7220,1,39512223
2022-08-14,3599,0,39512223
2022-08-15,814,0,39512223
2022-08-16,22677,177,39512223
2022-08-17,5845,5,39512223
2022-08-18,1201,0,39512223
2022-08-19,25577,141,39512223
2022-08-20,6632,0,39512223
2022-08-21,3100,0,39512223
2022-08-22,786,0,39512223
2022-08-23,19921,198,39512223
2022-08-24,5114,1,39512223
2022-08-25,1098,0,39512223
2022-08-26,21479,72,39512223
2022-08-27,5573,1,39512223
2022-08-28,2415,0,39512223
2022-08-29,694,0,39512223
2022-08-30,0,0,39512223
2022-08-31,22114,120,39512223
2022-09-01,1131,0,39512223
2022-09-02,0,0,39512223
2022-09-03,0,0,39512223
2022-09-04,0,0,39512223
2022-09-05,23363,121,39512223
2022-09-06,0,0,39512223
2022-09-07,0,0,39512223
2022-09-08,0,0,39512223
2022-09-09,0,0,39512223
2022-09-10,15459,205,39512223
2022-09-11,0,0,39512223
2022-09-12,0,0,39512223
2022-09-13,0,0,39512223
2022-09-14,0,0,39512223
2022-09-15,24932,192,39512223
2022-09-16,0,0,39512223
2022-09-17,0,0,39512223
2022-09-18,0,0,39512223
2022-09-19,0,0,39512223
2022-09-20,0,0,39512223
2022-09-21,0,0,39512223
2022-09-22,29794,249,39512223
2022-09-23,0,0,39512223
2022-09-24,0,0,39512223
2022-09-25,25496,158,39512223
