,Cases,Deaths,Population
2022-06-01,0,0,8882190
2022-06-02,8304,40,8882190
2022-06-03,0,0,8882190
2022-06-04,0,0,8882190
2022-06-05,0,0,8882190
2022-06-06,9103,18,8882190
2022-06-07,0,0,8882190
2022-06-08,12600,51,8882190
2022-06-09,3740,10,8882190
2022-06-10,0,0,8882190
2022-06-11,0,0,8882190
2022-06-12,0,0,8882190
2022-06-13,10153,38,8882190
2022-06-14,3142,20,8882190
2022-06-15,3079,17,8882190
2022-06-16,0,0,8882190
2022-06-17,6665,24,8882190
2022-06-18,0,0,8882190
2022-06-19,0,0,8882190
2022-06-20,6411,19,8882190
2022-06-21,2849,10,8882190
2022-06-22,3544,17,8882190
2022-06-23,0,0,8882190
2022-06-24,6531,28,8882190
2022-06-25,0,0,8882190
2022-06-26,0,0,8882190
2022-06-27,7330,13,8882190
2022-06-28,3621,16,8882190
2022-06-29,3142,13,8882190
2022-06-30,3914,13,8882190
2022-07-01,3617,8,8882190
2022-07-02,0,0,8882190
2022-07-03,0,0,8882190
2022-07-04,0,0,8882190
2022-07-05,10239,9,8882190
2022-07-06,0,0,8882190
2022-07-07,3069,17,8882190
2022-07-08,8424,16,8882190
2022-07-09,0,0,8882190
2022-07-10,0,0,8882190
2022-07-11,8545,13,8882190
2022-07-12,4431,14,8882190
2022-07-13,3708,7,8882190
2022-07-14,4275,12,8882190
2022-07-15,3965,7,8882190
2022-07-16,0,0,8882190
2022-07-17,0,0,8882190
2022-07-18,6514,11,8882190
2022-07-19,6785,11,8882190
2022-07-20,3954,15,8882190
2022-07-21,0,0,8882190
2022-07-22,0,0,8882190
2022-07-23,0,0,8882190
2022-07-24,0,0,8882190
2022-07-25,0,0,8882190
2022-07-26,21408,51,8882190
2022-07-27,0,0,8882190
2022-07-28,0,0,8882190
2022-07-29,0,0,8882190
2022-07-30,0,0,8882190
2022-07-31,0,0,8882190
2022-08-01,21421,30,8882190
2022-08-02,3564,20,8882190
2022-08-03,3435,17,8882190
2022-08-04,3690,13,8882190
2022-08-05,0,0,8882190
2022-08-06,0,0,8882190
2022-08-07,0,0,8882190
2022-08-08,11393,23,8882190
2022-08-09,3458,3,8882190
2022-08-10,0,0,8882190
2022-08-11,6564,39,8882190
2022-08-12,0,0,8882190
2022-08-13,0,0,8882190
2022-08-14,0,0,8882190
2022-08-15,9178,19,8882190
2022-08-16,2915,10,8882190
2022-08-17,2429,11,8882190
2022-08-18,0,0,8882190
2022-08-19,3192,15,8882190
2022-08-20,0,0,8882190
2022-08-21,0,0,8882190
2022-08-22,7915,27,8882190
2022-08-23,0,0,8882190
