,Cases,Deaths,Population
2022-06-01,553,6,2096829
2022-06-02,981,6,2096829
2022-06-03,0,0,2096829
2022-06-04,0,0,2096829
2022-06-05,0,0,2096829
2022-06-06,3367,41,2096829
2022-06-07,710,5,2096829
2022-06-08,1096,13,2096829
2022-06-09,1136,4,2096829
2022-06-10,984,7,2096829
2022-06-11,0,0,2096829
2022-06-12,0,0,2096829
2022-06-13,2483,-10,2096829
2022-06-14,757,2,2096829
2022-06-15,1126,4,2096829
2022-06-16,1076,3,2096829
2022-06-17,1274,11,2096829
2022-06-18,0,0,2096829
2022-06-19,0,0,2096829
2022-06-20,0,0,2096829
2022-06-21,3039,0,2096829
2022-06-22,916,8,2096829
2022-06-23,1415,8,2096829
2022-06-24,1251,6,2096829
2022-06-25,0,0,2096829
2022-06-26,0,0,2096829
2022-06-27,2662,6,2096829
2022-06-28,736,13,2096829
2022-06-29,1122,4,2096829
2022-06-30,1041,13,2096829
2022-07-01,822,5,2096829
2022-07-02,0,0,2096829
2022-07-03,0,0,2096829
2022-07-04,0,0,2096829
2022-07-05,3138,4,2096829
2022-07-06,618,7,2096829
2022-07-07,1184,3,2096829
2022-07-08,1247,3,2096829
2022-07-09,0,0,2096829
2022-07-10,0,0,2096829
2022-07-11,2469,9,2096829
2022-07-12,776,18,2096829
2022-07-13,1159,16,2096829
2022-07-14,582,29,2096829
2022-07-15,1721,21,2096829
2022-07-16,0,0,2096829
2022-07-17,0,0,2096829
2022-07-18,2410,23,2096829
2022-07-19,891,37,2096829
2022-07-20,1173,22,2096829
2022-07-21,1302,34,2096829
2022-07-22,1038,19,2096829
2022-07-23,0,0,2096829
2022-07-24,0,0,2096829
2022-07-25,2299,5,2096829
2022-07-26,943,11,2096829
2022-07-27,1149,17,2096829
2022-07-28,1184,9,2096829
2022-07-29,1048,13,2096829
2022-07-30,0,0,2096829
2022-07-31,0,0,2096829
2022-08-01,1981,11,2096829
2022-08-02,730,4,2096829
2022-08-03,873,6,2096829
2022-08-04,919,6,2096829
2022-08-05,1042,9,2096829
2022-08-06,0,0,2096829
2022-08-07,0,0,2096829
2022-08-08,1795,6,2096829
2022-08-09,563,9,2096829
2022-08-10,792,6,2096829
2022-08-11,851,4,2096829
2022-08-12,809,5,2096829
2022-08-13,0,0,2096829
2022-08-14,0,0,2096829
2022-08-15,1498,6,2096829
2022-08-16,519,3,2096829
2022-08-17,735,13,2096829
2022-08-18,623,8,2096829
2022-08-19,668,5,2096829
2022-08-20,0,0,2096829
2022-08-21,0,0,2096829
2022-08-22,1305,18,2096829
2022-08-23,638,13,2096829
2022-08-24,559,8,2096829
2022-08-25,619,6,2096829
2022-08-26,567,7,2096829
2022-08-27,0,0,2096829
2022-08-28,0,0,2096829
2022-08-29,1235,20,2096829
2022-08-30,430,13,2096829
2022-08-31,440,15,2096829
2022-09-01,455,18,2096829
2022-09-02,381,4,2096829
2022-09-03,0,0,2096829
2022-09-04,0,0,2096829
2022-09-05,0,0,2096829
2022-09-06,878,2,2096829
2022-09-07,252,4,2096829
2022-09-08,311,4,2096829
2022-09-09,308,4,2096829
2022-09-10,0,0,2096829
2022-09-11,0,0,2096829
2022-09-12,773,2,2096829
2022-09-13,221,8,2096829
2022-09-14,271,4,2096829
2022-09-15,243,12,2096829
2022-09-16,193,6,2096829
2022-09-17,0,0,2096829
2022-09-18,0,0,2096829
2022-09-19,527,6,2096829
2022-09-20,235,3,2096829
2022-09-21,283,10,2096829
2022-09-22,283,13,2096829
2022-09-23,247,5,2096829
2022-09-24,0,0,2096829
2022-09-25,0,0,2096829
2022-09-26,483,6,2096829
2022-09-27,172,5,2096829
2022-09-28,288,0,2096829
2022-09-29,265,1,2096829
2022-09-30,291,3,2096829
2022-10-01,0,0,2096829
2022-10-02,0,0,2096829
2022-10-03,555,3,2096829
2022-10-04,241,6,2096829
2022-10-05,305,10,2096829
2022-10-06,274,4,2096829
2022-10-07,244,5,2096829
2022-10-08,0,0,2096829
2022-10-09,0,0,2096829
2022-10-10,0,0,2096829
2022-10-11,860,1,2096829
2022-10-12,316,3,2096829
2022-10-13,341,0,2096829
2022-10-14,346,2,2096829
2022-10-15,0,0,2096829
2022-10-16,0,0,2096829
2022-10-17,743,0,2096829
2022-10-18,266,0,2096829
2022-10-19,352,6,2096829
2022-10-20,451,4,2096829
2022-10-21,437,9,2096829
2022-10-22,0,0,2096829
2022-10-23,0,0,2096829
2022-10-24,819,1,2096829
2022-10-25,412,1,2096829
2022-10-26,0,0,2096829
2022-10-27,1051,11,2096829
2022-10-28,489,9,2096829
2022-10-29,0,0,2096829
2022-10-30,0,0,2096829
2022-10-31,1038,1,2096829
