StateFIPS,State,Sex,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over
1,AL,T,5.8%,5.9%,6.7%,6.7%,6.4%,6.2%,6.3%,6.2%,6.5%,6.0%,6.3%,6.6%,6.8%,5.8%,4.9%,3.2%,2.1%,1.6%
1,AL,M,6.1%,6.3%,6.9%,6.9%,6.6%,6.5%,6.3%,6.2%,6.7%,5.9%,6.4%,6.7%,6.6%,5.4%,4.8%,2.9%,1.7%,1.1%
1,AL,F,5.4%,5.5%,6.5%,6.6%,6.2%,6.0%,6.4%,6.2%,6.3%,6.1%,6.2%,6.5%,7.0%,6.1%,5.1%,3.4%,2.4%,2.1%
2,AK,T,6.3%,7.1%,7.2%,6.9%,6.3%,7.5%,7.9%,7.5%,6.6%,5.5%,5.8%,5.9%,6.4%,5.6%,3.6%,2.2%,1.1%,0.9%
2,AK,M,6.4%,6.7%,7.2%,7.3%,7.0%,7.5%,8.0%,7.6%,6.2%,5.6%,5.8%,5.8%,6.1%,5.3%,3.8%,2.0%,1.0%,0.8%
2,AK,F,6.2%,7.6%,7.1%,6.4%,5.5%,7.5%,7.7%,7.4%,7.0%,5.3%,5.8%,5.9%,6.7%,5.8%,3.4%,2.5%,1.2%,1.0%
4,AZ,T,5.5%,6.1%,6.5%,6.6%,6.7%,6.9%,6.8%,6.5%,6.1%,5.8%,5.9%,5.8%,6.3%,5.6%,5.1%,3.6%,2.2%,1.8%
4,AZ,M,5.6%,6.4%,6.6%,6.8%,6.9%,7.2%,7.1%,6.6%,6.3%,5.8%,6.0%,5.8%,6.0%,5.2%,4.9%,3.5%,2.0%,1.4%
4,AZ,F,5.5%,5.9%,6.5%,6.5%,6.5%,6.7%,6.6%,6.3%,6.0%,5.7%,5.9%,5.9%,6.6%,6.0%,5.4%,3.8%,2.3%,2.1%
5,AR,T,5.9%,6.5%,6.8%,6.8%,6.6%,6.1%,6.6%,6.5%,6.2%,5.8%,6.0%,6.5%,6.3%,5.5%,4.9%,3.3%,2.0%,1.7%
5,AR,M,6.1%,6.9%,6.9%,7.2%,7.0%,6.1%,6.8%,6.4%,6.4%,5.7%,6.1%,6.5%,6.0%,5.3%,4.6%,3.0%,1.7%,1.2%
